duration,credit_amount,age,installment_commitment,residence_since,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,default
52,6233,31,3,1,3,1,A11,A32,A48,A61,A73,0
15,3716,19,1,6,1,0,A13,A31,A48,A63,A72,0
61,4864,26,3,8,1,2,A12,A32,A46,A65,A73,0
21,12769,61,1,1,3,0,A13,A31,A49,A64,A72,0
24,18361,22,1,6,3,0,A13,A33,A48,A65,A74,0
3,14329,51,3,9,1,1,A13,A30,A47,A63,A74,1
22,5460,36,3,6,1,0,A11,A31,A47,A61,A71,0
53,19281,24,2,2,3,0,A11,A30,A44,A64,A74,0
2,8801,56,1,1,3,2,A11,A31,A48,A65,A75,0
30,9341,59,1,4,1,1,A11,A33,A47,A64,A74,1
38,8230,34,1,6,1,0,A14,A32,A46,A64,A75,0
2,18383,43,1,9,1,1,A13,A30,A47,A63,A72,0
64,17479,63,3,5,1,2,A12,A32,A48,A64,A72,0
60,1478,44,3,7,1,0,A13,A31,A46,A62,A75,1
21,1230,60,2,6,1,2,A14,A31,A48,A62,A71,1
33,556,45,1,6,1,2,A13,A33,A47,A65,A74,0
58,2743,37,2,9,3,1,A13,A31,A41,A65,A75,0
22,2201,23,2,5,2,1,A12,A33,A42,A61,A74,0
49,18170,25,2,2,2,1,A12,A31,A45,A63,A73,0
59,8803,49,2,8,3,0,A12,A32,A45,A65,A71,1
42,15600,36,2,3,2,1,A13,A31,A46,A61,A72,1
60,13498,49,3,9,3,0,A14,A30,A41,A65,A75,1
15,9893,36,3,5,3,2,A11,A34,A40,A61,A73,0
62,1447,41,2,1,3,1,A11,A30,A410,A63,A75,0
62,7053,41,3,4,3,2,A13,A30,A44,A63,A75,0
47,1257,73,3,9,2,1,A11,A33,A410,A65,A75,0
62,15366,34,2,1,3,2,A11,A31,A41,A62,A75,0
51,12080,73,3,8,1,0,A13,A32,A48,A64,A72,1
55,6151,73,3,8,3,2,A13,A31,A42,A65,A72,0
64,7773,35,1,9,2,0,A14,A34,A41,A61,A72,0
3,10533,29,2,9,2,1,A11,A31,A46,A63,A71,1
51,4035,58,1,6,2,1,A13,A34,A45,A65,A72,0
7,19177,40,1,5,2,1,A11,A34,A47,A63,A74,0
21,17988,73,2,7,1,0,A12,A30,A48,A65,A72,1
39,9353,65,1,9,3,1,A12,A34,A42,A63,A75,0
18,1408,35,1,5,1,0,A14,A34,A47,A62,A75,0
4,5117,33,3,3,3,0,A13,A32,A43,A61,A74,0
60,10548,33,1,9,3,2,A11,A33,A41,A65,A73,1
14,2811,53,2,1,1,1,A12,A31,A43,A63,A75,0
9,16520,40,3,1,1,2,A13,A32,A43,A65,A75,0
53,17673,39,3,4,2,0,A12,A33,A47,A61,A72,0
2,14085,56,3,2,3,2,A12,A30,A49,A65,A72,0
60,14517,50,2,7,3,1,A13,A32,A47,A64,A75,0
71,17055,41,2,2,3,0,A12,A32,A46,A63,A74,1
44,13052,72,2,7,3,2,A13,A30,A43,A61,A75,0
8,13837,37,1,8,3,1,A14,A34,A41,A62,A72,0
47,2385,50,1,8,3,1,A13,A30,A40,A64,A72,1
35,1549,48,3,3,2,2,A12,A31,A410,A65,A72,1
36,11003,57,3,9,3,0,A12,A30,A41,A65,A74,0
50,1661,72,2,6,2,1,A11,A32,A41,A64,A75,0
4,1315,25,2,4,3,0,A14,A30,A42,A62,A72,0
2,4266,27,1,8,3,1,A12,A31,A49,A62,A73,0
6,3739,18,1,4,1,0,A14,A34,A44,A65,A72,0
54,14442,38,2,4,3,0,A11,A34,A40,A65,A71,1
4,8772,42,2,8,1,1,A14,A33,A44,A62,A73,0
54,19688,49,1,4,1,2,A13,A33,A46,A62,A72,0
63,1369,70,3,1,1,2,A14,A31,A40,A62,A71,0
18,6026,63,3,6,2,2,A12,A33,A43,A65,A74,1
44,8241,63,1,8,1,0,A12,A34,A410,A63,A71,1
34,5194,27,1,3,1,2,A13,A34,A41,A64,A75,0
62,2434,68,3,2,1,2,A12,A33,A47,A62,A75,0
14,17587,74,1,6,3,1,A11,A30,A41,A65,A74,0
48,16818,65,3,1,2,0,A12,A34,A40,A61,A74,0
15,19407,26,3,5,2,2,A11,A33,A41,A65,A74,1
62,19523,37,1,6,2,1,A14,A33,A49,A63,A71,0
40,6659,65,2,8,2,0,A14,A31,A43,A63,A71,0
53,16219,37,2,7,3,1,A12,A31,A44,A62,A74,0
24,13493,57,2,6,1,2,A12,A34,A41,A64,A71,1
26,14313,24,2,2,3,0,A13,A32,A43,A65,A75,0
60,1664,28,2,8,2,0,A14,A33,A46,A64,A72,0
41,1119,38,2,8,3,2,A11,A30,A44,A61,A73,0
29,8482,55,2,5,3,1,A13,A32,A47,A64,A74,0
15,3566,64,1,3,2,0,A13,A33,A49,A64,A75,0
45,9138,36,1,8,1,0,A14,A32,A48,A62,A71,1
65,2837,63,2,5,3,0,A13,A33,A40,A61,A73,0
71,6094,32,1,3,2,2,A11,A33,A40,A63,A74,0
9,2960,23,3,9,3,1,A13,A32,A42,A64,A71,0
1,7320,73,2,9,3,2,A11,A31,A47,A61,A71,0
8,3942,27,3,7,3,0,A11,A33,A40,A61,A73,1
63,16691,63,1,8,1,1,A12,A34,A49,A63,A71,1
11,19595,33,2,5,3,1,A14,A32,A41,A62,A73,0
8,16826,62,3,5,3,2,A14,A31,A40,A61,A75,1
35,11029,28,1,5,1,2,A14,A30,A40,A63,A74,0
35,18175,74,2,2,3,0,A14,A33,A48,A65,A71,0
33,10890,52,2,3,3,2,A11,A33,A49,A61,A72,0
5,14530,25,3,8,1,2,A14,A34,A40,A65,A73,0
41,5874,45,3,6,2,2,A14,A31,A43,A65,A75,0
28,13642,20,3,9,3,2,A11,A33,A46,A61,A72,1
7,19539,19,1,7,2,2,A12,A31,A44,A63,A74,0
12,12704,70,3,6,2,0,A14,A33,A49,A65,A75,0
34,7894,31,3,4,2,1,A13,A30,A44,A62,A73,1
33,17588,69,3,7,1,2,A12,A34,A46,A64,A75,0
48,1325,46,2,4,1,1,A12,A30,A45,A65,A75,0
23,9696,70,3,7,3,1,A12,A30,A45,A65,A75,0
62,12152,71,3,5,2,2,A14,A32,A47,A64,A74,0
37,17260,64,1,2,1,2,A11,A30,A49,A63,A72,0
44,1472,20,1,7,1,1,A14,A34,A48,A62,A75,0
35,11768,18,3,8,2,0,A14,A34,A410,A62,A71,0
65,943,32,1,2,1,1,A12,A33,A41,A65,A75,0
47,1254,37,1,6,2,0,A11,A30,A49,A61,A75,1
3,16523,39,1,4,1,1,A14,A31,A43,A61,A74,0
1,10863,51,2,5,2,2,A14,A32,A49,A65,A74,0
5,11397,67,3,1,1,0,A14,A32,A48,A61,A74,0
14,5896,50,3,6,1,1,A14,A32,A49,A62,A74,1
27,3965,26,3,8,1,0,A11,A34,A40,A62,A75,0
9,3211,20,1,2,1,2,A11,A34,A49,A64,A75,1
15,19291,19,1,1,2,0,A11,A33,A47,A62,A73,1
42,6247,21,1,9,3,2,A13,A30,A410,A63,A74,0
51,18607,33,2,2,3,2,A11,A34,A40,A62,A73,0
63,2419,71,1,8,1,0,A11,A32,A410,A65,A72,0
52,17802,50,2,5,3,2,A12,A34,A43,A61,A74,0
4,13973,26,3,2,1,2,A14,A30,A48,A61,A72,1
